Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,10/1/2013,123.65499,124.30466,124.75166,122.56349
BTC,10/2/2013,125.455,123.65499,125.7585,123.63383
BTC,10/3/2013,108.58483,125.455,125.66566,83.32833
BTC,10/4/2013,118.67466,108.58483,118.675,107.05816
BTC,10/7/2013,121.795,120.65533,121.99166,120.43199
BTC,10/8/2013,123.033,121.795,123.64016,121.35066
BTC,10/9/2013,124.049,123.033,124.7835,122.59266
BTC,10/10/2013,125.96116,124.049,128.01683,123.81966
BTC,10/11/2013,125.27966,125.96116,126.43666,124.11383
BTC,10/14/2013,135.24199,126.38333,135.24199,126.255
BTC,10/15/2013,133.20333,135.24199,135.69216,130.39275
BTC,10/16/2013,142.76333,133.20333,143.60483,132.94933
BTC,10/17/2013,137.92333,142.76333,145.601,136.01466
BTC,10/18/2013,142.95166,137.92333,144.311,137.53966
BTC,10/21/2013,164.31499,160.33883,164.3315,159.89666
BTC,10/22/2013,177.63333,164.31499,177.71166,163.87149
BTC,10/23/2013,188.29716,177.63333,188.82383,177.11399
BTC,10/24/2013,200.70166,188.29716,202.34333,185.81683
BTC,10/25/2013,180.355,200.70166,201.33316,158.72216
BTC,10/28/2013,187.15983,177.6965,188.3985,174.9035
BTC,10/29/2013,192.75666,187.15983,192.83983,185.88116
BTC,10/30/2013,197.4,192.75666,198.41366,191.62716
BTC,10/31/2013,196.02499,197.4,198.79333,192.83366
BTC,11/1/2013,198.04883,196.02499,198.57,195.02916
BTC,11/4/2013,210.3075,200.543,211.17133,200.296
BTC,11/5/2013,225.02,210.3075,227.02833,209.23333
BTC,11/6/2013,248.25333,225.02,248.32116,221.84833
BTC,11/7/2013,262.32666,248.25333,262.67166,242.95166
BTC,11/8/2013,294.48699,262.32666,294.48749,260.45166
BTC,11/11/2013,304.97974,285.8875,323.27249,260.70325
BTC,11/12/2013,338.137,304.97974,339.795,303.6505
BTC,11/13/2013,357.48,338.137,358.94999,336.30775
BTC,11/14/2013,402.954,357.48,409.51,350.20999
BTC,11/15/2013,409.10375,402.954,415.93975,383.5775
BTC,11/18/2013,510.6025,437.29725,512.16999,436.13324
BTC,11/19/2013,693.65,510.6025,781.82624,491.585
BTC,11/20/2013,531.54249,693.65,716.825,394.90624
BTC,11/21/2013,574.71599,531.54249,580.11375,428.9815
BTC,11/22/2013,681.33,574.71599,705.49725,570.78025
BTC,11/25/2013,768.8475,746.19374,787.2475,707.75149
BTC,11/26/2013,789.36475,768.8475,793.71424,739.8375
BTC,11/27/2013,893.1815,789.36475,904.585,787.19
BTC,11/28/2013,934.355,893.1815,965.2525,870.38525
BTC,11/29/2013,1068.363,934.355,1084.9466,912.931
BTC,12/2/2013,1019.78966,1099.51926,1099.70754,783.68616
BTC,12/3/2013,1028.845,1019.78966,1049.67916,929.95483
BTC,12/4/2013,1071.2848,1028.845,1092.83331,1021.177
BTC,12/5/2013,1139.33083,1071.2848,1151.29749,1066.87277
BTC,12/6/2013,1004.61633,1139.33083,1144.36916,870.3838
BTC,12/9/2013,841.83966,689.81,845.85092,682.71342
BTC,12/10/2013,916.77599,841.83966,948.68183,809.91748
BTC,12/11/2013,967.42866,916.77599,1004.93666,900.68016
BTC,12/12/2013,866.29003,967.42866,975.62383,832.22683
BTC,12/13/2013,911.23204,866.29003,919.30033,843.4055
BTC,12/16/2013,868.95316,848.9975,886.23583,819.43828
BTC,12/17/2013,653.80483,868.95316,876.21516,636.15056
BTC,12/18/2013,654.06266,653.80483,757.02366,647.62209
BTC,12/19/2013,553.69166,654.06266,654.06266,422.497
BTC,12/20/2013,693.05883,553.69166,710.3255,545.53966
BTC,12/23/2013,647.68316,595.95883,671.59166,594.36595
BTC,12/24/2013,671.58116,647.68316,685.3675,632.5431
BTC,12/25/2013,659.84333,671.58116,675.614,645.78333
BTC,12/26/2013,702.00083,659.84333,720.22498,651.53
BTC,12/27/2013,758.01016,702.00083,780.93666,698.07
BTC,12/30/2013,752.82022,717.92623,759.6362,713.751
BTC,12/31/2013,744.17249,752.82022,763.83,743.7
BTC,1/1/2014,768.40783,744.17249,772.959,733.19433
BTC,1/2/2014,769.09849,768.40783,774.26333,750.52516
BTC,1/3/2014,804.02719,769.09849,826.34166,768.15367
BTC,1/6/2014,970.65083,871.11583,972.00354,861.25831
BTC,1/7/2014,962.46447,970.65083,1023.16666,914.76666
BTC,1/8/2014,855.75933,962.46447,970.22516,788.70166
BTC,1/9/2014,860.84166,855.75933,886.02916,822.32296
BTC,1/10/2014,847.5325,860.84166,880.64166,814.17054
BTC,1/13/2014,873.27168,916.69666,920.71733,857.73833
BTC,1/14/2014,863.69888,873.27168,873.27168,821.00333
BTC,1/15/2014,853.25666,863.69888,871.11385,839.125
BTC,1/16/2014,874.07416,853.25666,888.88519,853.25666
BTC,1/17/2014,842.19173,874.07416,879.62999,841.27916
BTC,1/20/2014,881.87583,838.42916,885.16166,834.77499
BTC,1/21/2014,873.28916,881.87583,882.45166,857.84584
BTC,1/22/2014,874.13266,873.28916,876.14065,861.77833
BTC,1/23/2014,864.56116,874.13266,874.13266,854.05916
BTC,1/24/2014,838.14997,864.56116,866.45964,834.99822
BTC,1/27/2014,887.08337,858.12641,899.2283,851.74833
BTC,1/28/2014,830.53133,887.08337,887.37698,800.03833
BTC,1/29/2014,832.89496,830.53133,860.24269,798.18333
BTC,1/30/2014,832.87399,832.89496,846.92594,832.25583
BTC,1/31/2014,841.48914,832.87399,855.86653,816.05635
BTC,2/3/2014,856.03366,854.7225,882.43124,850.30816
BTC,2/4/2014,847.70697,856.03366,856.03366,842.73749
BTC,2/5/2014,844.28836,847.70697,852.26152,839.72962
BTC,2/6/2014,802.75333,844.28836,846.35105,793.63344
BTC,2/7/2014,748.43559,802.75333,815.79724,738.61499
BTC,2/10/2014,700.44843,668.86463,711.97109,662.74428
BTC,2/11/2014,694.3125,700.44843,702.36822,535.55166
BTC,2/12/2014,665.7975,694.3125,710.6525,635.23249
BTC,2/13/2014,645.615,665.7975,671.9975,633.395
BTC,2/14/2014,578.4125,645.615,653.355,532.3125
BTC,2/17/2014,611.04499,656.2725,657.2725,576.025
BTC,2/18/2014,634.99,611.04499,653.75,603.0675
BTC,2/19/2014,618.79,634.99,641.37249,607.9425
BTC,2/20/2014,619.8425,618.79,625.4225,612.5025
BTC,2/21/2014,545.7625,619.8425,620.84,525.0725
BTC,2/24/2014,572.7675,622.22,637.5025,567.5
BTC,2/25/2014,501.155,572.7675,583.135,492.8925
BTC,2/26/2014,550.6025,501.155,562.54499,418.755
BTC,2/27/2014,573.1025,550.6025,599.505,548.98749
BTC,2/28/2014,567.2925,573.1025,583.7825,558.2225
BTC,3/3/2014,567.7,560.195,568.275,550.74749
